"id","tag_name","created_at"
1,"sunset","2023-07-19 19:44:59.610989"
2,"photography","2023-07-19 19:44:59.610989"
3,"sunrise","2023-07-19 19:44:59.610989"
4,"landscape","2023-07-19 19:44:59.610989"
5,"food","2023-07-19 19:44:59.610989"
6,"foodie","2023-07-19 19:44:59.610989"
7,"delicious","2023-07-19 19:44:59.610989"
8,"beauty","2023-07-19 19:44:59.610989"
9,"stunning","2023-07-19 19:44:59.610989"
10,"dreamy","2023-07-19 19:44:59.610989"
11,"lol","2023-07-19 19:44:59.610989"
12,"happy","2023-07-19 19:44:59.610989"
13,"fun","2023-07-19 19:44:59.610989"
14,"style","2023-07-19 19:44:59.610989"
15,"hair","2023-07-19 19:44:59.610989"
16,"fashion","2023-07-19 19:44:59.610989"
17,"party","2023-07-19 19:44:59.610989"
18,"concert","2023-07-19 19:44:59.610989"
19,"drunk","2023-07-19 19:44:59.610989"
20,"beach","2023-07-19 19:44:59.610989"
21,"smile","2023-07-19 19:44:59.610989"
